secured,overcap,​0x1c980ddc6110856ee38700b6c006b766a15ee73bd7757790bd76d43eb3a79e45,​0.000000,​0.000004,Revert,true,true
secured,overcap,​0xd903d81ebe8886f49e131235a9abf5771b3712f2ecb74eb03897d7da3d1608cc,​0.000000,​0.000006,Revert,true,true
secured,overcap,​0xcea5e893821f4419cf4630982687d6ce5646e4b1a79fee627d5322ab1ae07251,​0.000000,​0.000005,Revert,true,true
secured,valid,​0x6f4f139f2aed4f3cbadf951d3199bd192d6b02fa46f18c7a679d0860469e6d83,​0.000143,​0.000014,Success,true,true
secured,valid,​0x1c1dcb749505921039462cdf6dae8d95a52bd22880ecb93f75b87b35345bf787,​0.000121,​0.000013,Success,true,true
secured,valid,​0x108e487c08b1183498a809e0c7607db68b6a877823fd5cba208a28aaf72cd956,​0.000121,​0.000011,Success,true,true
secured,valid,​0xf6b208a024d98e91edc8696326e7ba391dcd6e86de76db7c2c83d17ebab850ba,​0.000120,​0.000010,Success,true,true
secured,non-whitelist,​0x92c40b2e454ef6394fbe06c4f4fe25a299ed0bea3711609bc8a59de43f5a707f,​0.000000,​0.000005,Revert,true,true
secured,valid,​0xc9307d2a1661e2a850f2093c79900e8f6415b307ad2c44ee2809719f07ebd79e,​0.000141,​0.000012,Success,true,true
secured,valid,​0xc485931dba5542077fe29822583988578af9858357073ec54c71f0f9885ad231,​0.000140,​0.000012,Success,true,true
secured,valid,​0x4f2b35cba41d1cecdb9211234e94ebfe78fb260a7c2b937f038905c94332b960,​0.000119,​0.000010,Success,true,true
secured,valid,​0x84412f3ff6cec5bd43a325fe7d991d43d8a436c8561e81b2e3b8230f95f6495c,​0.000119,​0.000009,Success,true,true
secured,valid,​0x9a889f260ca219d8bdf3f9df92d7a61af11d240f06d1c9d32f68fe06dbdc8ef9,​0.000141,​0.000015,Success,true,true
secured,valid,​0x6c79b70d2037851cc59391638ec95b32727510b4a92ff608ea11322e5fd5573e,​0.000120,​0.000010,Success,true,true
secured,valid,​0x51fd1a99147cfd87d42cda08c0fadfd66734faf925890d05a740c5d294678e14,​0.000120,​0.000010,Success,true,true
secured,valid,​0x012f24839172bba2efce73b0fef4d7e37181fe6c082b8d0df10cba8184cbcd53,​0.000119,​0.000010,Success,true,true
secured,non-whitelist,​0x6f592b60f520e99122e4aa161a5f1f5e0b1dd1c71e071defa75d3500e1b2941a,​0.000000,​0.000005,Revert,true,true
secured,valid,​0xe5275c9f80ebc0ca3f61e2ade4a4f0d1b443a4fdf806bf2f843e466a32e15ffb,​0.000139,​0.000011,Success,true,true
secured,valid,​0x338220a4d57d76d2c75d0174d6ba94c3395f6c8190b47fb0e9a0e39fe364afee,​0.000118,​0.000009,Success,true,true
secured,valid,​0x271445bc63be2426ed3f14bf6d8b9325107b36ee087fdd6e781f149f53fe5a9d,​0.000118,​0.000009,Success,true,true
secured,valid,​0x65db825612f34df3935a78fb5883fba48b1ddb7be49bcdaf452bbba9ca0ebc3f,​0.000117,​0.000008,Success,true,true
secured,valid,​0x7c3a493be2c473891651e06596758ba43186555634606a1b79111f2c9cbd3a36,​0.000118,​0.000008,Success,true,true
secured,valid,​0xc337120381b0bfb03e5e27d7cb4220fd8af0a2f762d1fcf3951ef6ec0a8d8ea6,​0.000118,​0.000008,Success,true,true
secured,overcap,​0x6624ec17992846fef5e4d764c6e3b75748a1527c988cd5f8cbdcd380f1e36fce,​0.000000,​0.000003,Revert,true,true
secured,valid,​0xa39453a0523576a948795743fe1d564ff6b1cbe5155010f6e81e364ce122b065,​0.000117,​0.000008,Success,true,true
secured,valid,​0xfe878c415b71c7035719f9f46dee681f8588578c51772edaafe899c2b62c52ab,​0.000138,​0.000010,Success,true,true
secured,valid,​0x47b349939e6ab59071f07a46f7f9ef72f9abe5a7f109f062f8dd18fb8048ab0d,​0.000138,​0.000010,Success,true,true
secured,valid,​0xe9dcd66ed5bb94eba2006685b8bd6399b478a3a2211ae768b31aa02679dd61de,​0.000117,​0.000008,Success,true,true
